ref_id,name,tier,tier_label,cluster,cluster_name,group,applicability,cadence,pipeline_layer,assurance_question,measurement_method,lifecycle_phases,responsible_actors,maturity,source,group_file,heading_line
PI.E2E-6,Semantic Drift Accumulation,3,Advanced / Research,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Specific,Periodic audit,End-to-End,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Proposed / Novel,Proposed - inspired by signal processing concept of cumulative distortion,pi/end-to-end-pipeline.md,321
PI.E2E-7,Pipeline Non-Determinism / Reproducibility,2,Recommended,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Contextualised,One-off gate,End-to-End,Safety,Computational,Pre-deployment,Vendor,Proposed / Novel,Proposed - standard practice in safety-critical software testing but not yet applied to AVT pipelines,pi/end-to-end-pipeline.md,397
PI.E2E-8,Error Attribution Analysis,3,Advanced / Research,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Contextualised,Periodic audit,End-to-End,Meta-evaluation,Hybrid,Periodic Audit,"Vendor, Deployer",Proposed / Novel,Proposed - analogous to root cause analysis in incident investigation,pi/end-to-end-pipeline.md,482
PI.E2E-9,Clinical Decision Equivalence,3,Advanced / Research,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Contextualised,Periodic audit,End-to-End,Safety,Human Review,"Pre-deployment, Periodic Audit","Academic, National Body",Proposed / Novel,Proposed - the ultimate validity test for clinical documentation,pi/end-to-end-pipeline.md,521
PI.E2E-10,Full-Pipeline Latency Budget,2,Recommended,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Contextualised,Continuous,End-to-End,Operational,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Proposed / Novel,Proposed as operational metric - RTF alone doesn't capture full workflow impact,pi/end-to-end-pipeline.md,564
PI.E2E-11,Pipeline Failure Recovery,2,Recommended,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Contextualised,One-off gate,End-to-End,Safety,Computational,Pre-deployment,Vendor,Proposed / Novel,Standard fault tolerance testing applied to AVT pipelines,pi/end-to-end-pipeline.md,603
PI.E2E-12,Round-Trip Information Loss,3,Advanced / Research,PI,Pipeline Interactions,End-to-End Pipeline,AVT-Specific,Periodic audit,End-to-End,Fidelity & Accuracy,Hybrid,Periodic Audit,Academic,Proposed / Novel,Information theory applied to clinical documentation,pi/end-to-end-pipeline.md,642
HL.HF-1,Edit Rate (% Notes Edited),1,Minimum Viable,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,"Day Zero Baseline, Continuous",Deployer,Emerging,[Abridge-Whitepaper-2025]; [NAS-Day-Zero-SPI-internal]; [Keyes-Stanford-Monitoring-2025],hl/human-factors-workflow.md,1
HL.HF-2,Edit Type Classification,2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,"Vendor, Deployer",Emerging,[Abridge-Whitepaper-2025]; [DeepScore],hl/human-factors-workflow.md,98
HL.HF-3a,Review-Before-Signing Rate,1,Minimum Viable,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,Deployer,Emerging,[NAS-Day-Zero-SPI-internal]; [Keyes-Stanford-Monitoring-2025],hl/human-factors-workflow.md,182
HL.HF-3b,Time-to-Sign Distribution,1,Minimum Viable,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,Deployer,Emerging,EPR workflow data; [Keyes-Stanford-Monitoring-2025] principles,hl/human-factors-workflow.md,256
HL.HF-5,Edit-Pattern Monitoring at Scale,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,Vendor,Vendor-Proprietary,[Abridge-Whitepaper-2025],hl/human-factors-workflow.md,336
HL.HF-6,Automation Bias Detection (Error Injection),2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Hybrid,Periodic Audit,"Deployer, Regional (ICB)",Proposed / Novel,Proposed in [NAS-Day-Zero-SPI-internal],hl/human-factors-workflow.md,381
HL.HF-7,Edit Location Distribution,2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,"Vendor, Deployer",Proposed / Novel,Extends edit-pattern monitoring with structural awareness,hl/human-factors-workflow.md,428
HL.HF-8,Trust Calibration Survey,2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Survey,"Day Zero Baseline, Periodic Audit",Deployer,Proposed / Novel,Human factors literature; [NAS-Day-Zero-SPI-internal],hl/human-factors-workflow.md,469
HL.HF-9,Re-record / Abandonment Rate,2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Continuous,Cross-cutting,Human Factors,Passive Observational,Continuous,Deployer,Proposed / Novel,Identified as strong dissatisfaction signal,hl/human-factors-workflow.md,518
HL.HF-10,Cognitive Load Assessment,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,[NASA-TLX] adapted for clinical documentation review,hl/human-factors-workflow.md,557
HL.HF-11,Inter-Clinician Edit Variance,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Hybrid,Periodic Audit,Deployer,Proposed / Novel,Extends inter-rater reliability concepts to AVT review,hl/human-factors-workflow.md,604
HL.HF-12,Clinical Documentation Skill Attenuation,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Hybrid,Periodic Audit,"Deployer, Academic",Proposed / Novel,Aviation skill degradation literature,hl/human-factors-workflow.md,643
HL.HF-13,Cognitive Offloading Rate,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,Cognitive offloading literature; distinct from automation bias,hl/human-factors-workflow.md,686
HL.HF-14,Trust Halo Decay Rate,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,Trust halo effect analysis,hl/human-factors-workflow.md,725
HL.HF-15,Note Review Fatigue Trajectory,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Passive Observational,Periodic Audit,"Deployer, Academic",Proposed / Novel,Clinical fatigue research applied to AVT review,hl/human-factors-workflow.md,768
HL.HF-16,Work-as-Imagined vs Work-as-Done Gap,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Hybrid,Periodic Audit,"Deployer, Academic",Proposed / Novel,"[Hollnagel-FRAM]; [Park-SEIPS-Transfusion-2026] (SEIPS-CQR methodology demonstrated on a transfusion-system context, applicable to AVT — paper itself is not AVT-specific)",hl/human-factors-workflow.md,819
HL.HF-17,Verification Burden,2,Recommended,HL,The Human Layer,Human Factors & Workflow,AVT-Contextualised,Periodic audit,Cross-cutting,Human Factors,Hybrid,"Day Zero Baseline, Periodic Audit","Deployer, Academic",Emerging,[GOSH-Phase-4-TimeCat],hl/human-factors-workflow.md,858
HL.HF-18,Resilience Capacities Assessment,3,Advanced / Research,HL,The Human Layer,Human Factors & Workflow,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Hybrid,Periodic Audit,"Deployer, National Body, Academic",Proposed / Novel,[Hollnagel-FRAM] (Safety-II framing); resilience engineering literature,hl/human-factors-workflow.md,897
HL.HF-19,AI-Off Performance Test,2,Recommended,HL,The Human Layer,Human Factors & Workflow,General Healthcare AI,Periodic audit,Cross-cutting,Human Factors,Hybrid,"Day Zero Baseline, Periodic Audit",Deployer,Proposed / Novel,Operationalisation of existing Clinical Documentation Skill Attenuation metric; [Lancet-Gastroenterology-Endoscopist-AI-Off-2025] (ADR fell 28.4%→22.4% when AI removed),hl/human-factors-workflow.md,941
IO.PX-1,Patient Opt-Out Rate,1,Minimum Viable,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Continuous,Cross-cutting,Patient Experience,Passive Observational,Continuous,Deployer,Established,[NAS-Day-Zero-SPI-internal]; [CQC-Mythbuster-109],io/patient-experience.md,1
IO.PX-2,Patient-Perceived Accuracy,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Periodic audit,Cross-cutting,Patient Experience,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,Patient-centred care evaluation methodology,io/patient-experience.md,73
IO.PX-3,Emotional Content Preservation,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Periodic audit,Summarisation,Patient Experience,Human Review,Periodic Audit,"Deployer, Academic",Proposed / Novel,Identified gap in clinical AI evaluation - affective content is systematically deprioritised,io/patient-experience.md,112
IO.PX-4,Cultural & Linguistic Appropriateness,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,General Healthcare AI,Periodic audit,Summarisation,Patient Experience,Human Review,Periodic Audit,"Deployer, Academic",Proposed / Novel,Patient-centred care literature; growing concern with patient access to records,io/patient-experience.md,151
IO.PX-5,Chilling Effect Assessment,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Periodic audit,Cross-cutting,Patient Experience,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,[NHS-LLM-Framework] gap analysis,io/patient-experience.md,190
IO.PX-6,Therapeutic Relationship Impact,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Periodic audit,Cross-cutting,Patient Experience,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,Consultation quality literature,io/patient-experience.md,229
IO.PX-7,Full Attentiveness Rate,2,Recommended,IO,Impact & Outcomes,Patient Experience,AVT-Contextualised,Periodic audit,Cross-cutting,Patient Experience,Passive Observational,"Day Zero Baseline, Periodic Audit","Deployer, Academic",Emerging,See-also [Stults-2025] (clinician self-reported attentiveness gains; different construct from objective time-on-task),io/patient-experience.md,276
IO.PX-8,Patient Comprehension of AI-Generated Summaries,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,General Healthcare AI,Periodic audit,Summarisation,Patient Experience,Survey,Periodic Audit,"Deployer, Academic",Proposed / Novel,Health literacy research; growing relevance as patient access to records expands,io/patient-experience.md,315
IO.PX-9,Downstream Diagnostic Accuracy,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,General Healthcare AI,Periodic audit,End-to-End,Safety,Human Review,Periodic Audit,"Academic, National Body",Proposed / Novel,[Coiera-Fraile-Navarro-JMIR-2026],io/patient-experience.md,354
IO.PX-10,Medication Error Rate Differential,3,Advanced / Research,IO,Impact & Outcomes,Patient Experience,General Healthcare AI,Periodic audit,End-to-End,Safety,Hybrid,"Day Zero Baseline, Periodic Audit","National Body, Academic",Proposed / Novel,[Coiera-Fraile-Navarro-JMIR-2026] (critique); patient safety outcome literature; [LFPSE] medication categories,io/patient-experience.md,393
IO.FE-1,Deployment Equity Index,2,Recommended,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Continuous,Cross-cutting,Fairness & Equity,Computational,Continuous,"Regional (ICB), National Body",Proposed / Novel,[NHS-LLM-Framework] wider impact,io/fairness-equity.md,1
IO.FE-2,Accent Taxonomy Standardisation,2,Recommended,IO,Impact & Outcomes,Fairness & Equity,AVT-Specific,One-off gate,ASR / Transcription,Fairness & Equity,Human Review,"Pre-deployment, Periodic Audit","Vendor, National Body",Proposed / Novel,[FAccT-2024-ASR-Accent-Critique]; sociolinguistics literature,io/fairness-equity.md,40
IO.FE-3,Clinical Domain Performance Variance,2,Recommended,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Summarisation,Fairness & Equity,Human Review,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,Compound boundary risk model,io/fairness-equity.md,77
IO.FE-4,Intersectional Performance,3,Advanced / Research,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Cross-cutting,Fairness & Equity,Computational,Periodic Audit,"Vendor, National Body",Proposed / Novel,Intersectionality literature applied to AI fairness,io/fairness-equity.md,116
IO.FE-5,Intersectional Compound Disadvantage Score,3,Advanced / Research,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Cross-cutting,Fairness & Equity,Computational,Periodic Audit,"Vendor, National Body, Academic",Emerging,Taxonomy-proposed metric extending intersectional-fairness literature (e.g. *Gender Shades* — Buolamwini & Gebru 2018; subgroup-fairness work),io/fairness-equity.md,155
IO.FE-6,Rare Presentation Handling,3,Advanced / Research,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Summarisation,Fairness & Equity,Human Review,Periodic Audit,Vendor,Proposed / Novel,Long-tail performance analysis from machine learning literature,io/fairness-equity.md,194
IO.FE-7,Health Literacy Performance Variation,3,Advanced / Research,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Cross-cutting,Fairness & Equity,Computational,Periodic Audit,"Vendor, Academic",Proposed / Novel,Health literacy and equity research,io/fairness-equity.md,233
IO.FE-8,Cross-Platform Fairness Consistency,3,Advanced / Research,IO,Impact & Outcomes,Fairness & Equity,General Healthcare AI,Periodic audit,Cross-cutting,Fairness & Equity,Computational,Periodic Audit,"Regional (ICB), National Body",Proposed / Novel,Extension of existing Cross-Practice Variance Coefficient into equity dimension,io/fairness-equity.md,274
GV.SG-1,Model Version Tracking,1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,Continuous,Vendor,Emerging,[Keyes-Stanford-Monitoring-2025],gv/safety-governance.md,1
GV.SG-2,Model Update Impact Score,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Regional (ICB)",Proposed / Novel,[NAS-Day-Zero-SPI-internal]; [Keyes-Stanford-Monitoring-2025],gv/safety-governance.md,68
GV.SG-3,Performance Degradation Detection Latency,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,Continuous,"Regional (ICB), National Body",Proposed / Novel,[NICE-ESF] 2022 AI-specific updates; drift detection literature,gv/safety-governance.md,118
GV.SG-4,Retraining Trigger Threshold Specification,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,One-off gate,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit",Vendor,Emerging,[FDA-PCCP-Guidance-2024]; [NICE-ESF] 2022 AI-specific additions,gv/safety-governance.md,157
GV.SG-5,AI-Generated Data Contamination Rate,3,Advanced / Research,GV,System Governance,Safety & Governance,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Human Review,Periodic Audit,"Vendor, National Body",Emerging,[Alemohammad-MAD-2023]; [Shumailov-Curse-of-Recursion]; [He-AI-Contamination-Pathology-2026],gv/safety-governance.md,196
GV.SG-6,Concept Drift in Clinical Notes,3,Advanced / Research,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Meta-evaluation,Computational,Continuous,"Regional (ICB), National Body, Academic",Proposed / Novel,Concept drift literature from ML monitoring applied to clinical NLG,gv/safety-governance.md,237
GV.SG-7,Probabilistic Risk Quantification (P₁/P₂),3,Advanced / Research,GV,System Governance,Safety & Governance,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,"[Kalinich-LLM-SaMD-PRA-2025] (PRA framework demonstrated on suicide-risk chatbot safety, applied here to AVT)",gv/safety-governance.md,274
GV.SG-8,DeepScore (Defect-Free Rate),3,Advanced / Research,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Summarisation,Safety,Hybrid,Continuous,Vendor,Vendor-Proprietary,[DeepScribe],gv/safety-governance.md,317
GV.SG-9,Safety Performance Indicators with Thresholds (DSCMS),1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Hybrid,Continuous,"Deployer, Regional (ICB)",Emerging,[AMLAS-AAIP]; [NAS-Day-Zero-SPI-internal],gv/safety-governance.md,360
GV.SG-10,Off-Label Use Detection Rate,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,Continuous,Deployer,Proposed / Novel,Compound boundary risk model; [NHS-LLM-Framework],gv/safety-governance.md,403
GV.SG-11,Adverse Event / Incident Rate (LFPSE),1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Human Review,Continuous,"Deployer, National Body",Established,[LFPSE] national reporting,gv/safety-governance.md,450
GV.SG-12,Cross-Practice Variance Coefficient,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,Continuous,Regional (ICB),Proposed / Novel,Multi-level assurance framework,gv/safety-governance.md,493
GV.SG-13,Assurance Debt Accumulation Rate,1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Meta-evaluation,Human Review,Continuous,"Deployer, Regional (ICB)",Proposed / Novel,Multi-level assurance framework,gv/safety-governance.md,532
GV.SG-14,Near-Miss Reporting Rate,1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Human Review,Continuous,Deployer,Proposed / Novel,Patient safety leading vs lagging indicator literature,gv/safety-governance.md,571
GV.SG-15,Time-to-Correct,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Human Review,Continuous,Deployer,Proposed / Novel,Standard incident response metric applied to AVT,gv/safety-governance.md,640
GV.SG-16,SPI Escalation Response Time,2,Recommended,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Human Review,Continuous,"Deployer, Regional (ICB)",Proposed / Novel,Operational extension of [AMLAS-AAIP],gv/safety-governance.md,681
GV.SG-17,Hazard Log Completeness,1,Minimum Viable,GV,System Governance,Safety & Governance,General Healthcare AI,Continuous,Cross-cutting,Safety,Human Review,Continuous,Deployer,Established,[DCB0129] compliance requirement,gv/safety-governance.md,722
GV.CR-1,Patient Dissent Recording Rate,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Continuous,Cross-cutting,Patient Experience,Passive Observational,Continuous,Deployer,Established,[NHSE-IG-Guidance-2026-03],gv/nhs-compliance-regulatory.md,1
GV.CR-2,Verbal Notification Compliance,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Periodic audit,Cross-cutting,Patient Experience,Hybrid,"Day Zero Baseline, Periodic Audit",Deployer,Established,[NHSE-IG-Guidance-2026-03]; [CQC-Mythbuster-109] context,gv/nhs-compliance-regulatory.md,70
GV.CR-3,AI-Generated Content Labelling Compliance,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Continuous,Downstream Write-back,Meta-evaluation,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Established,[NHSE-IG-Guidance-2026-03],gv/nhs-compliance-regulatory.md,140
GV.CR-4,AVT Supplier Registry Listing Verification,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,AVT-Specific,Continuous,Cross-cutting,Safety,Human Review,"Pre-deployment, Continuous","Deployer, Vendor",Established,[NHSE-AVT-Registry] (live since January 2026),gv/nhs-compliance-regulatory.md,202
GV.CR-5,ICB Engagement Documentation,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,One-off gate,Cross-cutting,Meta-evaluation,Human Review,Pre-deployment,"Deployer, Regional (ICB)",Established,[CIO-CCIO-Guidance-2026]; NHS CIO priority notification,gv/nhs-compliance-regulatory.md,265
GV.CR-6,Clinical Safety Case Completeness,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit",Deployer,Established,[DCB0129] / [DCB0160]; [PubMed-41172285-FOI-Study],gv/nhs-compliance-regulatory.md,330
GV.CR-7,DPIA Template Completion Rate,1,Minimum Viable,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit",Deployer,Established,[UK-GDPR] Article 35; [NHSE-IG-Guidance-2026-03] template,gv/nhs-compliance-regulatory.md,394
GV.CR-8,DSPA Status,2,Recommended,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit","Deployer, Vendor",Established,[UK-GDPR] Article 28; NHS data protection guidance,gv/nhs-compliance-regulatory.md,458
GV.CR-9,FDA PCCP-Equivalent Pre-Defined Acceptance Criteria,2,Recommended,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,One-off gate,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit",Vendor,Emerging,[FDA-PCCP-Guidance-2024]; [EU-AI-Act] Article 15; [NICE-ESF] 2022 AI updates,gv/nhs-compliance-regulatory.md,497
GV.CR-10,EU AI Act Event Logging Compliance,2,Recommended,GV,System Governance,NHS Compliance & Regulatory,General Healthcare AI,Continuous,Cross-cutting,Safety,Computational,"Pre-deployment, Continuous",Vendor,Emerging,[EU-AI-Act] Article 12 (high-risk provisions effective August 2026),gv/nhs-compliance-regulatory.md,536
GV.SC-1,Prompt Injection Resistance Rate,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[Mindgard-Heidi-2026]; [Mindgard-Doctronic-2026]; adversarial ML literature,gv/security-adversarial-robustness.md,1
GV.SC-2,Jailbreak Resistance Score,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[Mindgard-Heidi-2026]; [Mindgard-Doctronic-2026],gv/security-adversarial-robustness.md,45
GV.SC-3,Adversarial Audio Detection Rate,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,AVT-Specific,Periodic audit,ASR / Transcription,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,Adversarial ML literature; identified in [NHS-LLM-Framework] 'intentional misuse' dimension,gv/security-adversarial-robustness.md,89
GV.SC-4,Data Poisoning Resilience,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,One-off gate,Cross-cutting,Safety,Computational,Pre-deployment,Vendor,Emerging,[Carlini-Web-Scale-Poisoning-2024] (0.001 % web-scale poisoning threshold); historical/conceptual basis [discipline-data-poisoning] (Biggio et al. ICML 2012),gv/security-adversarial-robustness.md,132
GV.SC-5,Output Safety Classifier Coverage,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Continuous,Summarisation,Safety,Computational,"Pre-deployment, Continuous",Vendor,Emerging,[NeMo-Guardrails] (representative implementation of the output-classifier pattern); absence noted in vendor safety architecture review,gv/security-adversarial-robustness.md,171
GV.SC-6,Template Injection Vulnerability Assessment,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Summarisation,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Identified in [INSYTE-2025] underspecification analysis; extends template modification risk to adversarial context,gv/security-adversarial-robustness.md,215
GV.SC-7,Voice Cloning / Deepfake Detection,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,AVT-Specific,Periodic audit,Audio Capture,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,Voice biometric and deepfake detection literature,gv/security-adversarial-robustness.md,254
GV.SC-8,Side-Channel Data Leakage,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,Standard application security testing,gv/security-adversarial-robustness.md,293
GV.SC-9,Cross-Patient Information Leakage Rate,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Emerging,[MIT-Jameel-2026] cross-patient leakage disclosure,gv/security-adversarial-robustness.md,332
GV.SC-10,Clinician Identity Authentication,2,Recommended,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,One-off gate,Cross-cutting,Safety,Human Review,Pre-deployment,"Vendor, Deployer",Established,Standard authentication security; [CIS2] requirements,gv/security-adversarial-robustness.md,369
GV.SC-11,Membership Inference Attack AUC,3,Advanced / Research,GV,System Governance,Security & Adversarial Robustness,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Established,[IEEE-S-and-P-2023-LLM-PII-Leakage]; [Luo-PII-CRM-2026],gv/security-adversarial-robustness.md,410
GV.SC-12,Cyber Essentials Plus Certification Status,2,Recommended,GV,System Governance,Security & Adversarial Robustness,AVT-Contextualised,One-off gate; annual re-verification,Cross-cutting,Security,Documentary,"Pre-deployment, Periodic Audit","Vendor, Deployer",Established,[NHSE-AVT-Registry] (req #5); [NCSC-Cyber-Essentials] (Plus variant administered by IASME),gv/security-adversarial-robustness.md,449
GV.PD-1,Audio Retention Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[UK-GDPR] Article 5(1)(e) storage limitation; [NHSE-IG-Guidance-2026-03],gv/privacy-data-governance.md,1
GV.PD-2,Audio Time-to-Deletion,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[NHSE-IG-Guidance-2026-03]; [UK-GDPR] Article 5(1)(e) storage limitation,gv/privacy-data-governance.md,64
GV.PD-3,Transcript Retention Compliance,1,Minimum Viable,GV,System Governance,Privacy & Data Governance,AVT-Specific,Continuous,Cross-cutting,Safety,Computational,Continuous,"Vendor, Deployer",Established,[NHSE-IG-Guidance-2026-03]; [UK-GDPR] Article 5(1)(e),gv/privacy-data-governance.md,124
GV.PD-4,Data Minimisation Score,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,[UK-GDPR] Article 5(1)(c) data minimisation; DGX Spark / local processing potential,gv/privacy-data-governance.md,187
GV.PD-5,PII Extraction Attack Success Rate,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[IEEE-S-and-P-2023-LLM-PII-Leakage]; [OWASP-LLM-Top-10] (Sensitive Information Disclosure),gv/privacy-data-governance.md,226
GV.PD-6,Re-identification Risk Assessment,2,Recommended,GV,System Governance,Privacy & Data Governance,General Healthcare AI,Periodic audit,Cross-cutting,Safety,Human Review,"Pre-deployment, Periodic Audit","Deployer, Vendor",Established,[ICO] anonymisation code of practice; [NIST-Privacy-Framework],gv/privacy-data-governance.md,265
